as_of_date,product,size,quantity_on_hand,location
2026-09-21,adult_incontinence,L,344,Main Warehouse
2026-09-21,adult_incontinence,M,339,Main Warehouse
2026-09-21,adult_incontinence,S,136,Main Warehouse
2026-09-21,adult_incontinence,XL,146,Main Warehouse
2026-09-21,diaper,1,32562,Main Warehouse
2026-09-21,diaper,2,43744,Main Warehouse
2026-09-21,diaper,3,33850,Main Warehouse
2026-09-21,diaper,4,27883,Main Warehouse
2026-09-21,diaper,5,12146,Main Warehouse
2026-09-21,diaper,6,6220,Main Warehouse
2026-09-21,diaper,7,4095,Main Warehouse
2026-09-21,diaper,N,13079,Main Warehouse
2026-09-21,period_cup,one_size,95,Main Warehouse
2026-09-21,period_liner,one_size,1957,Main Warehouse
2026-09-21,period_pad,overnight,1200,Main Warehouse
2026-09-21,period_pad,regular,3106,Main Warehouse
2026-09-21,period_pad,super,1892,Main Warehouse
2026-09-21,period_tampon,regular,2317,Main Warehouse
2026-09-21,period_tampon,super,1227,Main Warehouse
2026-09-21,period_tampon,super_plus,600,Main Warehouse
2026-09-21,pull_up,2T-3T,1981,Main Warehouse
2026-09-21,pull_up,3T-4T,2715,Main Warehouse
2026-09-21,pull_up,4T-5T,2012,Main Warehouse
2026-09-21,wipes,one_size,82916,Main Warehouse
