Distribution Date,Site ID,Partner,Product Category,Product Size,Qty,Households,Children
2025-03-31,SITE_001,Partner Site 01,diaper,N,36,1.0,1.0
2025-03-31,SITE_001,Partner Site 01,diaper,1,110,2.0,3.0
2025-03-31,SITE_001,Partner Site 01,diaper,2,194,4.0,5.0
2025-03-31,SITE_001,Partner Site 01,diaper,3,334,7.0,8.0
2025-03-31,SITE_001,Partner Site 01,diaper,4,480,9.0,13.0
2025-03-31,SITE_001,Partner Site 01,diaper,5,463,7.0,9.0
2025-03-31,SITE_001,Partner Site 01,diaper,6,185,3.0,5.0
2025-03-31,SITE_001,Partner Site 01,diaper,7,50,1.0,1.0
2025-03-31,SITE_001,Partner Site 01,wipes,one_size,1039,,
2025-03-31,SITE_001,Partner Site 01,period_pad,regular,129,,
2025-03-31,SITE_001,Partner Site 01,period_pad,super,66,,
2025-03-31,SITE_001,Partner Site 01,period_pad,overnight,45,,
2025-03-31,SITE_001,Partner Site 01,period_tampon,regular,64,,
2025-03-31,SITE_001,Partner Site 01,period_tampon,super,38,,
2025-03-31,SITE_001,Partner Site 01,period_tampon,super_plus,20,,
2025-03-31,SITE_001,Partner Site 01,period_liner,one_size,68,,
2025-04-07,SITE_001,Partner Site 01,diaper,N,38,1.0,1.0
2025-04-07,SITE_001,Partner Site 01,diaper,1,137,2.0,3.0
2025-04-07,SITE_001,Partner Site 01,diaper,2,247,5.0,6.0
2025-04-07,SITE_001,Partner Site 01,diaper,3,369,6.0,8.0
2025-04-07,SITE_001,Partner Site 01,diaper,4,541,10.0,15.0
2025-04-07,SITE_001,Partner Site 01,diaper,5,578,10.0,11.0
2025-04-07,SITE_001,Partner Site 01,diaper,6,231,4.0,5.0
2025-04-07,SITE_001,Partner Site 01,diaper,7,60,1.0,1.0
2025-04-07,SITE_001,Partner Site 01,wipes,one_size,1356,,
2025-04-07,SITE_001,Partner Site 01,period_pad,regular,131,,
2025-04-07,SITE_001,Partner Site 01,period_pad,super,112,,
2025-04-07,SITE_001,Partner Site 01,period_pad,overnight,65,,
2025-04-07,SITE_001,Partner Site 01,period_tampon,regular,72,,
2025-04-07,SITE_001,Partner Site 01,period_tampon,super,41,,
2025-04-07,SITE_001,Partner Site 01,period_tampon,super_plus,30,,
2025-04-07,SITE_001,Partner Site 01,period_liner,one_size,83,,
2025-04-07,SITE_001,Partner Site 01,period_cup,one_size,9,,
2025-04-14,SITE_001,Partner Site 01,diaper,N,42,1.0,1.0
2025-04-14,SITE_001,Partner Site 01,diaper,1,157,3.0,4.0
2025-04-14,SITE_001,Partner Site 01,diaper,2,223,3.0,4.0
2025-04-14,SITE_001,Partner Site 01,diaper,3,405,7.0,10.0
2025-04-14,SITE_001,Partner Site 01,diaper,4,561,8.0,10.0
2025-04-14,SITE_001,Partner Site 01,diaper,5,592,14.0,16.0
2025-04-14,SITE_001,Partner Site 01,diaper,6,213,4.0,5.0
2025-04-14,SITE_001,Partner Site 01,diaper,7,66,1.0,1.0
2025-04-14,SITE_001,Partner Site 01,wipes,one_size,936,,
2025-04-14,SITE_001,Partner Site 01,period_pad,regular,107,,
2025-04-14,SITE_001,Partner Site 01,period_pad,super,68,,
2025-04-14,SITE_001,Partner Site 01,period_pad,overnight,37,,
2025-04-14,SITE_001,Partner Site 01,period_tampon,regular,85,,
2025-04-14,SITE_001,Partner Site 01,period_tampon,super,43,,
2025-04-14,SITE_001,Partner Site 01,period_tampon,super_plus,32,,
2025-04-14,SITE_001,Partner Site 01,period_liner,one_size,74,,
2025-04-14,SITE_001,Partner Site 01,period_cup,one_size,11,,
2025-04-21,SITE_001,Partner Site 01,diaper,N,44,1.0,1.0
2025-04-21,SITE_001,Partner Site 01,diaper,1,128,2.0,2.0
2025-04-21,SITE_001,Partner Site 01,diaper,2,226,5.0,6.0
2025-04-21,SITE_001,Partner Site 01,diaper,3,367,5.0,7.0
2025-04-21,SITE_001,Partner Site 01,diaper,4,557,13.0,15.0
2025-04-21,SITE_001,Partner Site 01,diaper,5,569,10.0,12.0
2025-04-21,SITE_001,Partner Site 01,diaper,6,226,3.0,4.0
2025-04-21,SITE_001,Partner Site 01,diaper,7,72,1.0,2.0
2025-04-21,SITE_001,Partner Site 01,wipes,one_size,1012,,
2025-04-21,SITE_001,Partner Site 01,period_pad,regular,94,,
2025-04-21,SITE_001,Partner Site 01,period_pad,super,53,,
2025-04-21,SITE_001,Partner Site 01,period_pad,overnight,40,,
2025-04-21,SITE_001,Partner Site 01,period_tampon,regular,108,,
2025-04-21,SITE_001,Partner Site 01,period_tampon,super,64,,
2025-04-21,SITE_001,Partner Site 01,period_tampon,super_plus,34,,
2025-04-21,SITE_001,Partner Site 01,period_liner,one_size,113,,
2025-04-28,SITE_001,Partner Site 01,diaper,N,43,1.0,1.0
2025-04-28,SITE_001,Partner Site 01,diaper,1,106,2.0,3.0
2025-04-28,SITE_001,Partner Site 01,diaper,2,181,3.0,4.0
2025-04-28,SITE_001,Partner Site 01,diaper,3,315,6.0,7.0
2025-04-28,SITE_001,Partner Site 01,diaper,4,537,10.0,13.0
2025-04-28,SITE_001,Partner Site 01,diaper,5,515,9.0,11.0
