expected_date,source,product,size,quantity,status
2026-09-28,Community Donations,diaper,N,3095,confirmed
2026-09-28,Community Donations,diaper,1,3367,confirmed
2026-09-28,Community Donations,diaper,2,2789,confirmed
2026-09-28,Community Donations,diaper,3,1983,confirmed
2026-09-28,Community Donations,diaper,4,1255,confirmed
2026-09-28,Community Donations,diaper,5,880,confirmed
2026-09-28,Community Donations,diaper,6,524,confirmed
2026-09-28,Community Donations,diaper,7,140,confirmed
2026-09-28,Targeted Diaper Purchase,diaper,4,13657,pending
2026-09-28,Targeted Diaper Purchase,diaper,5,11036,confirmed
2026-09-28,Targeted Diaper Purchase,diaper,6,4573,confirmed
2026-09-28,Planned Purchase,adult_incontinence,L,122,confirmed
2026-09-28,Planned Purchase,adult_incontinence,M,120,confirmed
2026-09-28,Planned Purchase,adult_incontinence,S,43,confirmed
2026-09-28,Planned Purchase,adult_incontinence,XL,51,confirmed
2026-09-28,Planned Purchase,period_cup,one_size,22,pending
2026-09-28,Planned Purchase,period_liner,one_size,605,pending
2026-09-28,Planned Purchase,period_pad,overnight,608,pending
2026-09-28,Planned Purchase,period_pad,regular,1063,pending
2026-09-28,Planned Purchase,period_pad,super,896,confirmed
2026-09-28,Planned Purchase,period_tampon,regular,1120,pending
2026-09-28,Planned Purchase,period_tampon,super,557,confirmed
2026-09-28,Planned Purchase,period_tampon,super_plus,303,confirmed
2026-09-28,Planned Purchase,pull_up,2T-3T,922,pending
2026-09-28,Planned Purchase,pull_up,3T-4T,1087,confirmed
2026-09-28,Planned Purchase,pull_up,4T-5T,770,pending
2026-09-28,Planned Purchase,wipes,one_size,30719,confirmed
2026-10-05,Community Donations,diaper,N,3099,confirmed
2026-10-05,Community Donations,diaper,1,3400,confirmed
2026-10-05,Community Donations,diaper,2,2679,pending
2026-10-05,Community Donations,diaper,3,1881,confirmed
2026-10-05,Community Donations,diaper,4,1205,confirmed
2026-10-05,Community Donations,diaper,5,831,confirmed
2026-10-05,Community Donations,diaper,6,559,confirmed
2026-10-05,Community Donations,diaper,7,120,confirmed
2026-10-12,Community Donations,diaper,N,2856,confirmed
2026-10-12,Community Donations,diaper,1,3135,pending
2026-10-12,Community Donations,diaper,2,2648,confirmed
2026-10-12,Community Donations,diaper,3,1767,confirmed
2026-10-12,Community Donations,diaper,4,1177,confirmed
2026-10-12,Community Donations,diaper,5,768,confirmed
2026-10-12,Community Donations,diaper,6,494,confirmed
2026-10-12,Community Donations,diaper,7,133,confirmed
2026-10-19,Community Donations,diaper,N,2840,confirmed
2026-10-19,Community Donations,diaper,1,3081,pending
2026-10-19,Community Donations,diaper,2,2601,confirmed
2026-10-19,Community Donations,diaper,3,1782,pending
2026-10-19,Community Donations,diaper,4,1136,confirmed
2026-10-19,Community Donations,diaper,5,788,pending
2026-10-19,Community Donations,diaper,6,530,confirmed
2026-10-19,Community Donations,diaper,7,124,confirmed
2026-10-26,Community Donations,diaper,N,2701,pending
2026-10-26,Community Donations,diaper,1,3033,confirmed
2026-10-26,Community Donations,diaper,2,2477,confirmed
2026-10-26,Community Donations,diaper,3,1748,confirmed
2026-10-26,Community Donations,diaper,4,1121,confirmed
2026-10-26,Community Donations,diaper,5,715,confirmed
2026-10-26,Community Donations,diaper,6,487,confirmed
2026-10-26,Community Donations,diaper,7,126,confirmed
2026-10-26,Targeted Diaper Purchase,diaper,4,11683,pending
2026-10-26,Targeted Diaper Purchase,diaper,5,11398,confirmed
2026-10-26,Targeted Diaper Purchase,diaper,6,4487,pending
2026-10-26,Planned Purchase,adult_incontinence,L,138,pending
2026-10-26,Planned Purchase,adult_incontinence,M,140,confirmed
2026-10-26,Planned Purchase,adult_incontinence,S,48,confirmed
2026-10-26,Planned Purchase,adult_incontinence,XL,47,confirmed
2026-10-26,Planned Purchase,period_cup,one_size,27,confirmed
2026-10-26,Planned Purchase,period_liner,one_size,783,pending
2026-10-26,Planned Purchase,period_pad,overnight,600,pending
2026-10-26,Planned Purchase,period_pad,regular,1222,confirmed
2026-10-26,Planned Purchase,period_pad,super,599,pending
2026-10-26,Planned Purchase,period_tampon,regular,809,confirmed
2026-10-26,Planned Purchase,period_tampon,super,394,confirmed
2026-10-26,Planned Purchase,period_tampon,super_plus,286,pending
2026-10-26,Planned Purchase,pull_up,2T-3T,709,pending
2026-10-26,Planned Purchase,pull_up,3T-4T,1135,confirmed
2026-10-26,Planned Purchase,pull_up,4T-5T,711,confirmed
2026-10-26,Planned Purchase,wipes,one_size,22506,confirmed
2026-11-02,Community Donations,diaper,N,2890,confirmed
2026-11-02,Community Donations,diaper,1,3094,confirmed
2026-11-02,Community Donations,diaper,2,2548,confirmed
2026-11-02,Community Donations,diaper,3,1802,confirmed
2026-11-02,Community Donations,diaper,4,1196,confirmed
2026-11-02,Community Donations,diaper,5,760,confirmed
2026-11-02,Community Donations,diaper,6,533,confirmed
2026-11-02,Community Donations,diaper,7,134,confirmed
2026-11-09,Community Donations,diaper,N,2808,confirmed
2026-11-09,Community Donations,diaper,1,2910,confirmed
2026-11-09,Community Donations,diaper,2,2586,confirmed
2026-11-09,Community Donations,diaper,3,1814,confirmed
2026-11-09,Community Donations,diaper,4,1156,confirmed
2026-11-09,Community Donations,diaper,5,745,pending
2026-11-09,Community Donations,diaper,6,521,pending
2026-11-09,Community Donations,diaper,7,144,pending
2026-11-16,Community Donations,diaper,N,2751,confirmed
2026-11-16,Community Donations,diaper,1,2876,pending
2026-11-16,Community Donations,diaper,2,2445,pending
2026-11-16,Community Donations,diaper,3,1804,confirmed
2026-11-16,Community Donations,diaper,4,1164,confirmed
2026-11-16,Community Donations,diaper,5,822,confirmed
2026-11-16,Community Donations,diaper,6,484,confirmed
2026-11-16,Community Donations,diaper,7,105,confirmed
2026-11-23,Community Donations,diaper,N,2699,confirmed
2026-11-23,Community Donations,diaper,1,2922,confirmed
2026-11-23,Community Donations,diaper,2,2445,confirmed
2026-11-23,Community Donations,diaper,3,1723,pending
2026-11-23,Community Donations,diaper,4,1111,confirmed
2026-11-23,Community Donations,diaper,5,757,confirmed
2026-11-23,Community Donations,diaper,6,463,pending
2026-11-23,Community Donations,diaper,7,118,confirmed
2026-11-23,Targeted Diaper Purchase,diaper,4,11947,confirmed
2026-11-23,Targeted Diaper Purchase,diaper,5,10832,confirmed
2026-11-23,Targeted Diaper Purchase,diaper,6,4385,confirmed
2026-11-23,Planned Purchase,adult_incontinence,L,124,confirmed
2026-11-23,Planned Purchase,adult_incontinence,M,107,pending
2026-11-23,Planned Purchase,adult_incontinence,S,53,confirmed
2026-11-23,Planned Purchase,adult_incontinence,XL,53,confirmed
2026-11-23,Planned Purchase,period_cup,one_size,27,confirmed
2026-11-23,Planned Purchase,period_liner,one_size,778,confirmed
2026-11-23,Planned Purchase,period_pad,overnight,527,confirmed
2026-11-23,Planned Purchase,period_pad,regular,984,confirmed
2026-11-23,Planned Purchase,period_pad,super,636,confirmed
2026-11-23,Planned Purchase,period_tampon,regular,1088,confirmed
2026-11-23,Planned Purchase,period_tampon,super,425,confirmed
2026-11-23,Planned Purchase,period_tampon,super_plus,223,pending
2026-11-23,Planned Purchase,pull_up,2T-3T,781,pending
2026-11-23,Planned Purchase,pull_up,3T-4T,1077,confirmed
2026-11-23,Planned Purchase,pull_up,4T-5T,857,confirmed
2026-11-23,Planned Purchase,wipes,one_size,31732,pending
2026-11-30,Community Donations,diaper,N,2684,pending
2026-11-30,Community Donations,diaper,1,2979,confirmed
2026-11-30,Community Donations,diaper,2,2381,pending
2026-11-30,Community Donations,diaper,3,1633,confirmed
2026-11-30,Community Donations,diaper,4,1153,confirmed
2026-11-30,Community Donations,diaper,5,707,pending
2026-11-30,Community Donations,diaper,6,472,confirmed
2026-11-30,Community Donations,diaper,7,122,confirmed
2026-12-07,Holiday Donation Drive,diaper,N,6763,confirmed
2026-12-07,Holiday Donation Drive,diaper,1,7347,pending
2026-12-07,Holiday Donation Drive,diaper,2,6130,confirmed
2026-12-07,Holiday Donation Drive,diaper,3,4300,confirmed
2026-12-07,Holiday Donation Drive,diaper,4,2668,confirmed
2026-12-07,Holiday Donation Drive,diaper,5,1819,pending
2026-12-07,Holiday Donation Drive,diaper,6,1273,pending
2026-12-07,Holiday Donation Drive,diaper,7,318,confirmed
2026-12-14,Community Donations,diaper,N,2711,confirmed
2026-12-14,Community Donations,diaper,1,2955,confirmed
2026-12-14,Community Donations,diaper,2,2515,pending
2026-12-14,Community Donations,diaper,3,1683,confirmed
2026-12-14,Community Donations,diaper,4,1153,pending
